,factor1_measure,factor2_measure,factor3_measure,factor4_measure,factor5_measure,factor6_measure,student
1473,0.0,0.0,0.0,13.25,11.4285714286,12.5,305043
1474,0.0,0.0,0.0,13.25,11.7142857143,,305070
1475,13.2,14.6666666667,14.2222222222,15.25,14.5714285714,16.25,305112
1476,0.0,,0.0,13.0,0.0,,305189
1477,0.0,0.0,0.0,11.0,13.0,,305195
1478,0.0,10.0,0.0,13.25,13.2857142857,,305342
1479,0.0,14.6666666667,10.8888888889,13.75,12.2857142857,13.625,305410
1480,0.0,0.0,0.0,12.0,10.0,,305434
1481,0.0,,0.0,0.0,14.0,,305476
1482,0.0,0.0,13.0,0.0,13.0,,305505
1483,0.0,,0.0,14.0,,,305527
1484,17.5,14.3333333333,16.1111111111,15.25,17.1428571429,,305607
1485,0.0,0.0,0.0,11.0,15.0,,305614
1486,0.0,0.0,0.0,13.0,17.0,10.0,305636
1487,0.0,0.0,0.0,13.25,0.0,,305659
1488,14.0,14.0,15.8888888889,15.25,14.0,15.0,305697
1489,0.0,11.6666666667,12.5555555556,12.75,12.0,,305735
1490,0.0,0.0,0.0,11.0,11.0,,305784
1491,0.0,14.0,0.0,12.0,12.0,,305796
1492,,,,,13.5,,305851
1493,14.0,12.6666666667,14.2222222222,15.5,13.8571428571,15.8333333333,305883
1494,0.0,0.0,0.0,0.0,13.0,,305898
1495,16.0,14.0,15.3333333333,15.0,16.0,15.625,305915
1496,0.0,11.0,0.0,14.75,12.1428571429,,305953
1497,0.0,0.0,0.0,10.5,13.0,,305962
1498,0.0,0.0,0.0,12.0,13.0,,306005
1499,17.6,17.6666666667,17.4444444444,15.0,17.5714285714,18.1666666667,306020
1500,0.0,0.0,0.0,11.5,0.0,,306061
1501,0.0,12.6666666667,12.0,14.75,12.8571428571,0.0,306075
1502,13.0,13.6666666667,13.8888888889,16.0,12.4285714286,0.0,306090
1503,14.2,13.3333333333,14.0,13.25,16.2857142857,,306108
1504,0.0,0.0,0.0,14.5,10.4,,306237
1505,0.0,0.0,0.0,11.0,0.0,,306312
1506,16.5,19.0,17.2222222222,14.5,16.8571428571,,306323
1507,0.0,0.0,0.0,13.75,13.4285714286,,306359
1508,0.0,0.0,0.0,0.0,0.0,,306380
1509,0.0,12.3333333333,0.0,16.25,10.2857142857,0.0,306387
1510,14.4,13.6666666667,13.0,15.0,12.1428571429,,306513
1511,0.0,12.3333333333,12.4444444444,13.75,0.0,,306516
